topicTitle,topicId,value,geo,keyword,time,sys_time
Vaccine,/m/07__7,22,BR-AL,Dengue,2023-03,2024-11-13 10:31
Chikungunya virus infection,/m/01__7l,19,BR-AL,Dengue,2023-03,2024-11-13 10:31
Bleeding,/m/012n6x,18,BR-AL,Dengue,2023-03,2024-11-13 10:31
Metamizole,/m/08j19g,16,BR-AL,Dengue,2023-03,2024-11-13 10:31
Influenza,/m/0cycc,16,BR-AL,Dengue,2023-03,2024-11-13 10:31
Zika virus,/m/080m_5j,12,BR-AL,Dengue,2023-03,2024-11-13 10:31
Zika fever,/m/02vkznh,11,BR-AL,Dengue,2023-03,2024-11-13 10:31
Dengue vaccine,/m/0115n7rn,10,BR-AL,Dengue,2023-03,2024-11-13 10:31
Body ache,/g/11k71tc65k,10,BR-AL,Dengue,2023-03,2024-11-13 10:31
Disease,/m/027x3,8,BR-AL,Dengue,2023-03,2024-11-13 10:31
Yellow fever,/m/087z2,8,BR-AL,Dengue,2023-03,2024-11-13 10:31
Virus,/m/0g9pc,8,BR-AL,Dengue,2023-03,2024-11-13 10:31
Transmission,/m/036991,8,BR-AL,Dengue,2023-03,2024-11-13 10:31
